DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,18,Dhoby Ghaut,Kovan,1800
WEEKDAY,8,Buangkok,Kovan,1797
WEEKDAY,18,Chinatown,Dhoby Ghaut,1797
WEEKDAY,19,Farrer Park,Serangoon,1789
WEEKDAY,20,Chinatown,Sengkang,1785
WEEKDAY,13,Sengkang,Hougang,1780
WEEKDAY,9,Sengkang,Boon Keng,1779
WEEKDAY,20,Hougang,Sengkang,1779
WEEKDAY,21,Farrer Park,Boon Keng,1768
WEEKDAY,12,Farrer Park,Boon Keng,1767
WEEKDAY,7,Boon Keng,HarbourFront,1762
WEEKDAY,19,Chinatown,Farrer Park,1761
WEEKDAY,9,Boon Keng,Farrer Park,1759
WEEKDAY,17,Potong Pasir,Hougang,1752
WEEKDAY,8,Kovan,Chinatown,1752
WEEKDAY,8,Buangkok,Outram Park,1745
WEEKDAY,18,Clarke Quay,Kovan,1740
WEEKDAY,6,Punggol,Potong Pasir,1740
WEEKDAY,12,Hougang,Sengkang,1738
WEEKDAY,7,Buangkok,Boon Keng,1734
WEEKDAY,7,Punggol,Kovan,1732
WEEKDAY,18,Woodleigh,Sengkang,1730
WEEKDAY,19,Dhoby Ghaut,Boon Keng,1724
WEEKDAY,18,Outram Park,Kovan,1719
WEEKDAY,17,Chinatown,Punggol,1713
WEEKDAY,19,Clarke Quay,Punggol,1712
WEEKDAY,20,Dhoby Ghaut,Boon Keng,1707
WEEKDAY,14,Farrer Park,Boon Keng,1699
WEEKDAY,9,Hougang,Farrer Park,1698
WEEKDAY,18,Punggol,Serangoon,1695
WEEKDAY,18,Little India,Buangkok,1689
WEEKDAY,22,Dhoby Ghaut,Sengkang,1689
WEEKDAY,20,Punggol,Hougang,1688
WEEKDAY,11,Kovan,Sengkang,1686
WEEKDAY,18,Outram Park,Boon Keng,1682
WEEKDAY,14,Sengkang,Serangoon,1681
WEEKDAY,8,Sengkang,Hougang,1681
WEEKDAY,18,HarbourFront,Buangkok,1679
WEEKDAY,19,Outram Park,Sengkang,1679
WEEKDAY,18,Outram Park,Buangkok,1676
WEEKDAY,17,Serangoon,Boon Keng,1675
WEEKDAY,16,Serangoon,Hougang,1675
WEEKDAY,21,Serangoon,Punggol,1673
WEEKDAY,18,Kovan,Hougang,1672
WEEKDAY,19,Sengkang,Hougang,1672
WEEKDAY,18,Chinatown,Buangkok,1670
WEEKDAY,20,Farrer Park,Serangoon,1667
